Description,Price,ModleName,Carrier,Brand,FormFactor,Memory,OperatingSystem,Color,Cellular,SimCount,Year,AdditionalComponents,SellerStore,StoreLink,ProductLink
Net10 Motorola Moto e 4G LTE Prepaid Smartphone (Locked) - Midnight Blue - 32GB - Sim Card Included - CDMA,$54.00,Moto E,Tracfone,Net10,Smartphone,32 GB,Android,Black,LTE,,,"Phone, Charger, SIM",Net10 Store,https://www.amazon.com/stores/NET10/page/33CED46B-F8E2-45F8-B712-CA8270319FAA?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A020871132GEFUYGGND0T&url=%2FNet10-Motorola-Prepaid-Smartphone-Locked%2Fdp%2FB08J5BNFSY%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080914%26sr%3D8-1-spons%26psc%3D1&qualifier=1646080914&id=7822729215197307&widgetName=sp_atf
"TCL 10 SE Unlocked Android Smartphone, 6.52"" V-Notch Display, US Version Cell Phone with 16 MP Rear AI Triple-Camera 4GB RAM + 64GB ROM, 4000mAh Fast Charging Battery, ICY Silver",$159.99,TCL 10 SE,AT&T,TCL,Smartphone,64 GB,Android 10.0,Icy Silver,4G,Single SIM,2020.0,,TCL Store,https://www.amazon.com/stores/TCL/page/0BC8946D-897E-41F0-837E-F776CEDFD8B3?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A064187837ER4DV4XRTPL&url=%2FTCL-Unlocked-Smartphone-Triple-Camera-Charging%2Fdp%2FB09295KQ9Q%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080914%26sr%3D8-2-spons%26psc%3D1%26smid%3DA30Q8ROZNHHS8N&qualifier=1646080914&id=7822729215197307&widgetName=sp_atf
"(Renewed) Apple iPhone 11, 64GB, Black - Unlocked",$395.00,IPhone 11,Unlocked for All Carriers,Apple,Smartphone,64 GB,IOS,Black,4G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-11-64GB-Black/dp/B07ZPKN6YR/ref=sr_1_3?keywords=used+phones&qid=1646080914&sr=8-3
"(Renewed) Apple iPhone XS, US Version, 64GB, Space Gray - Unlocked",$279.00,IPhone XS,T-Mobile,Apple,Smartphone,64 GB,IOS,Space Gray,3G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-64GB-Space-Gray/dp/B07SC58QBW/ref=sr_1_4?keywords=used+phones&qid=1646080914&sr=8-4
TracFone Blu View 2 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$28.98,,Tracfone,TracFone,Smartphone,32 GB,Android 10.0,Black,LTE,,,,TracFone Store,https://www.amazon.com/stores/Tracfone/page/64B4FC0C-8D94-48E8-AF60-E606E348588D?ref_=ast_bln,https://www.amazon.com//TracFone-View-Prepaid-Smartphone-Locked/dp/B08J4JYD47/ref=sr_1_5?keywords=used+phones&qid=1646080914&sr=8-5
(Renewed) Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black,$122.95,,Unlocked,Samsung Electronics,Smartphone,32 GB,Android,Black,2G,,,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-A102U-Unlocked-Phone/dp/B084KS5WYC/ref=sr_1_6?keywords=used+phones&qid=1646080914&sr=8-6
"Samsung Galaxy A12 Nacho (128GB, 4GB) 6.5"" HD+, Exynos 850, 48MP Quad Camera, Dual SIM GSM Unlocked Global 4G Volte (T-Mobile, AT&T, Metro) International Model A127F/DS (64GB SD Bundle, Blue)",$178.00,,"T-Mobile, Unlocked",Samsung Electronics,,128 GB,Android 11,Blue,,Dual SIM,2021.0,,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-Unlocked-T-Mobile-International/dp/B09GPRKX24/ref=sr_1_7?keywords=used+phones&qid=1646080914&sr=8-7
BLU Advance L5 | 2020 | Long Lasting Battery | Unlocked | 4.0” Display | 16GB | 5MP Camera | US Warranty | Black,$39.99,Advance L5,Unlocked for All Carriers,BLU,Smartphone,16 GB,Android 8.1,Black,3G,Dual SIM,2021.0,,BLU Store,https://www.amazon.com/stores/BLUProducts/page/AA9E1BFD-E94A-4247-B28B-5A42DB54AFFD?ref_=ast_bln,https://www.amazon.com//Advance-A390L-Unlocked-Phone-Camera/dp/B07Z6Q9NCZ/ref=sr_1_8?keywords=used+phones&qid=1646080914&sr=8-8
"Apple iPhone X, US Version, 64GB, Space Gray - Fully Unlocked (Renewed)",$254.99,IPhone X,Unlocked,Apple,Bar,64 GB,IOS,Space Gray,2G,Single SIM,,SIM Tray Ejector,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-Fully-Unlocked-64GB/dp/B077578W38/ref=sr_1_9?keywords=used+phones&qid=1646080914&sr=8-9
Tracfone Motorola Moto e 4G LTE Prepaid Smartphone (Locked) - Midnight Blue - 32GB - Sim Card Included - CDMA,$54.90,Moto E,Tracfone,Motorola,Smartphone,32 GB,Android,Midnight Blue,LTE,,,"Phone, SIM, Charger",Motorola Store,https://www.amazon.com/stores/Tracfone/page/64B4FC0C-8D94-48E8-AF60-E606E348588D?ref_=ast_bln,https://www.amazon.com//TracFone-Motorola-Prepaid-Smartphone-Locked/dp/B08J4JCXDH/ref=sr_1_10?keywords=used+phones&qid=1646080914&sr=8-10
